chengyu	pingyin	jieshi	chuchu	lizi
龟龙麟凤	guī lóng lín fèng	传统上用来象征高寿、尊贵、吉祥的四种动物。比喻身处高位德盖四海的人。	无	无
龟龙鳞凤	guī lóng lín fèng	传统上用来象征高寿、尊贵、吉祥的四种动物。比喻身处高位德盖四海的人。	《汉书·翟方进传》太皇太后临政，有龟龙鳞凤之应。	无
龟龙片甲	guī lóng piàn jiǎ	比喻无论巨细都搜罗进来的好东西。	唐·张怀瓘《书议》麟凤一毛，龟龙片甲，亦无所不录。	无
龟龄鹤算	guī líng hè suàn	比喻人之长寿。或用作祝寿之词。同龟年鹤寿”。	宋·侯寘《水调歌头·为郑子礼提刑寿》词坐享龟龄鹤算，稳佩金鱼玉带，常近赭黄袍。	表长年。傲～，永劫绵绵。★金·王丹桂《瑶台第一层·崔大师生辰》词
龟鹤遐龄	guī hè xiá líng	遐长久。遐龄高寿。传说龟、鹤都能活一千年。比喻长寿。亦作龟龄鹤算”。	无	无
龟鹤遐寿	guī hè xiá shòu	遐长久。祝人长寿的颂辞。	《抱朴子·对俗》知龟鹤之遐寿，故效其道引以增年。	无
龟玉毁椟	guī yù huǐ dú	龟甲和宝玉在匣中被毁坏。比喻辅佐之臣失职而使国运毁败。	《论语·季氏》虎儿出於柙，龟玉毁于椟中，是谁之过与？	无
龟毛兔角	guī máo tù jiǎo	乌龟身上生毛，兔子头上长角。比喻不可能存在或有名无实的东西。	晋·干宝《搜神记》卷六商纣之时，大龟生毛兔生角，兵甲将兴之象也。	～，岂是有邪？★宋·释普济《五灯会元》卷五
龟文鸟迹	guī wén niǎo jì	指古代的象形文字。	唐·张彦远《法书要录》第七卷颉首四目，通于神明，仰观奎星圆曲之势，俯察龟文鸟迹之象，博彩众美，合而为字，是曰古文。	无
龟年鹤算	guī nián hè suàn	比喻人之长寿。或用作祝寿之词。同龟年鹤寿”。	宋·韦骧《醉蓬莱·廷评庆寿》词惟愿增高，龟年鹤算，鸿恩紫诏。	无
龟年鹤寿	guī nián hè shòu	相传龟、鹤寿有千百之数，而用于比喻人之长寿。或用作祝寿之词。	唐·李商隐《祭张书记文》神道甚微，天理难究，桂蠹兰败，龟年鹤寿。	祝老爷爷～。
